,after_Acc,after_Acc_class,after_fwIoU,after_mIoU,before_Acc,before_Acc_class,before_fwIoU,before_mIoU,filename,markssp_num,ssp_num,threshold
average,0.901551667,,,,0.878751269,,,,,,,
0,0.53837204,0.522458983,0.458322523,0.217594383,0.370140076,0.459188708,0.289089725,0.16219283,softmax_prob_top_potsdam_7_7_RGBIR_4158_462.tif,113,,
1,0.976356506,0.744632428,0.964203194,0.326342496,0.959980011,0.743494647,0.946357076,0.300384563,softmax_prob_top_potsdam_6_15_RGBIR_5488_0.tif,113,,
2,0.926940918,0.771224162,0.874958877,0.589386875,0.905323029,0.698592798,0.838168437,0.529457711,softmax_prob_top_potsdam_2_14_RGBIR_924_1386.tif,113,,
3,0.883152008,0.737624872,0.79501832,0.653402968,0.855545044,0.703259802,0.756172033,0.610093781,softmax_prob_top_potsdam_3_12_RGBIR_3234_3696.tif,113,,
4,0.888584137,0.812391947,0.800456854,0.652305678,0.868728638,0.787648632,0.769419689,0.606337628,softmax_prob_top_potsdam_4_14_RGBIR_4158_5488.tif,113,,
5,0.869346619,0.67686679,0.771272442,0.593694954,0.843288422,0.485379243,0.732126635,0.433780492,softmax_prob_top_potsdam_6_7_RGBIR_924_1848.tif,113,,
6,0.915122986,0.741784459,0.854905424,0.544170714,0.912296295,0.746475805,0.853860499,0.546244217,softmax_prob_top_potsdam_5_13_RGBIR_1386_4620.tif,113,,
7,0.933540344,0.900109864,0.886683098,0.681184082,0.919143677,0.90512193,0.867490916,0.672755512,softmax_prob_top_potsdam_2_14_RGBIR_0_1386.tif,113,,
8,0.954669952,0.860695925,0.916064091,0.767815089,0.949867249,0.881240162,0.907719324,0.764783172,softmax_prob_top_potsdam_6_12_RGBIR_0_5082.tif,113,,
9,0.915752411,0.876721621,0.866072129,0.45759424,0.894329071,0.847897552,0.836985522,0.425979481,softmax_prob_top_potsdam_7_11_RGBIR_3234_5082.tif,113,,
10,0.945705414,0.568635182,0.910060864,0.490608472,0.928939819,0.553468794,0.886339173,0.461687871,softmax_prob_top_potsdam_6_11_RGBIR_1848_0.tif,113,,
11,0.984020233,0.936646073,0.977454657,0.458868317,0.979446411,0.932565424,0.973881357,0.457409448,softmax_prob_top_potsdam_4_14_RGBIR_2310_1848.tif,113,,
12,0.852401733,0.80893767,0.751372162,0.564379639,0.814994812,0.76010446,0.699637479,0.511654367,softmax_prob_top_potsdam_4_14_RGBIR_4620_1386.tif,113,,
13,0.846576691,0.69068079,0.749647647,0.595753093,0.830791473,0.670301482,0.728696533,0.572508761,softmax_prob_top_potsdam_4_10_RGBIR_4620_4620.tif,113,,
14,0.898735046,0.837065033,0.818435477,0.505811171,0.866703033,0.779363844,0.766720986,0.459149338,softmax_prob_top_potsdam_5_14_RGBIR_0_2772.tif,113,,
15,0.891689301,0.801603705,0.805885703,0.740361819,0.867229462,0.738102624,0.766918716,0.664146523,softmax_prob_top_potsdam_2_11_RGBIR_2772_4158.tif,113,,
